matchNum,summoner,matchId,blueKills-redKills,blueAssists-redAssists,blueGold-redGold,blueAvgLevel-redAvgLevel,blueDamageToTurrets-redDamageToTurrets,blueDragonKills-redDragonKills,gameLength,numPlayers,outcome
4048,Spring TTea,"NA1_4247926103",14,31,8945,1,18748,4,1588,10,1
4049,gonu,"NA1_4264916530",18,53,10778,1.4,11605,3,1331,10,1
4050,gonu,"NA1_4264881610",13,14,14007,1.6,15544,0,1685,10,1
4051,gonu,"NA1_4262301942",16,17,16605,1.6,18232,2,1745,10,1
4052,gonu,"NA1_4262063732",-9,15,-8529,-1.2,-2396,-1,1985,10,0
4053,gonu,"NA1_4259136617",2,9,-6986,-0.4,-8531,-4,2401,10,0
4054,gonu,"NA1_4259132027",11,6,12884,1.8,21282,4,1623,10,1
4055,gonu,"NA1_4259075739",-4,9,-4983,0,-9283,5,2594,10,0
4056,gonu,"NA1_4259051283",-22,-63,-10492,-1,-14438,-3,2121,10,0
4057,gonu,"NA1_4258261485",7,16,10256,1,7277,2,1537,10,1
4058,gonu,"NA1_4256403714",15,39,6687,1.8,1062,1,1507,10,1
4059,gonu,"NA1_4256392519",-7,-7,-5055,-0.2,-22534,-2,2505,10,0
4060,gonu,"NA1_4256327362",-3,-32,578,-1.2,-6819,-3,2096,10,0
4061,gonu,"NA1_4256210969",4,31,4322,1.2,174,-1,1797,10,1
4062,gonu,"NA1_4256155417",7,6,5872,0.8,15478,3,1765,10,1
4063,gonu,"NA1_4255911605",-5,-16,-6691,-0.4,-12491,-1,1988,10,0
4064,gonu,"NA1_4255646187",-12,-66,-10269,-2,-8517,-5,2097,10,0
4065,gonu,"NA1_4253777770",-16,-17,-11474,-2,-19619,1,1444,10,0
4066,gonu,"NA1_4253571791",10,33,8292,1.4,7784,1,2263,10,1
4067,gonu,"NA1_4251889697",-4,-10,-8579,-1.4,-6365,0,2062,10,0
4068,gonu,"NA1_4251835244",21,38,14876,1.8,17214,3,1502,10,1
4069,gonu,"NA1_4251774137",-11,-47,-7980,-1,-5184,0,2131,10,0
4070,gonu,"NA1_4250489545",12,39,9149,1.8,5380,0,1508,10,1
4071,gonu,"NA1_4249829812",14,28,13122,1.4,22045,4,1772,10,1
4072,gonu,"NA1_4249735973",-6,2,-7875,-0.8,-16512,-4,2046,10,0
4073,gonu,"NA1_4248650666",13,28,8188,1.6,5486,-1,1865,10,1
4074,gonu,"NA1_4248597101",11,21,6790,1.2,3348,1,1247,10,1
4075,gonu,"NA1_4247796513",1,-20,1418,0.4,-623,2,1675,10,0
4076,gonu,"NA1_4247764447",-20,-28,-14935,-2,-16163,-3,1153,10,0
4077,gonu,"NA1_4243025360",-9,-36,-5579,-1,89,1,2152,10,0
4078,gonu,"NA1_4242396444",-10,-2,-8434,-1.4,-11625,-5,1927,10,0
4079,gonu,"NA1_4240599016",-7,-8,-5575,-1,-7991,-1,1871,10,0
4080,gonu,"NA1_4239226242",13,24,8718,1.4,20119,3,2065,10,1
4081,gonu,"NA1_4238821224",-1,-16,-3510,-1.2,-5503,0,1628,10,0
4082,gonu,"NA1_4238805105",-17,-37,-9562,-1.6,-7184,-1,1539,10,0
4083,gonu,"NA1_4238510227",13,-14,7869,0.8,12131,1,1846,10,1
4084,gonu,"NA1_4236488430",25,39,12257,1.4,5347,0,1681,10,1
4085,gonu,"NA1_4234630193",14,15,10993,1.2,15723,1,1330,10,1
4086,gonu,"NA1_4233687907",-11,-33,-7974,-1.4,-16811,1,1716,10,0
4087,gonu,"NA1_4232777903",20,29,16475,1.4,17859,0,1622,10,1
4088,gonu,"NA1_4232769559",-9,-23,-8558,-1.8,-5827,-4,1659,10,0
4089,gonu,"NA1_4232764202",31,30,20844,2.6,21865,2,1114,10,1
4090,gonu,"NA1_4232403242",14,24,9295,1.2,8181,2,1864,10,1
4091,gonu,"NA1_4232377757",23,18,7558,0.2,7611,-1,1523,10,1
4092,gonu,"NA1_4232354687",27,29,11697,1.6,15123,1,1373,10,1
4093,gonu,"NA1_4232298643",15,23,9122,1.2,20308,2,1742,10,1
4094,gonu,"NA1_4221959606",-7,8,-10432,-1.4,-7818,0,2303,10,0
4095,gonu,"NA1_4221860955",5,7,4198,0.6,6115,0,1985,10,1
4096,gonu,"NA1_4221767159",4,20,4251,0.8,13916,1,1740,10,1
4097,gonu,"NA1_4221397962",-7,-20,-3442,-0,-6226,-2,1748,10,0
4098,gonu,"NA1_4221323577",14,29,9352,1.8,19998,4,1665,10,1
4099,Tonisho,"NA1_4261983221",7,4,8459,1,5354,0,980,10,1
4100,Tonisho,"NA1_4261971000",18,10,14182,1.6,18944,2,1181,10,1
4101,Tonisho,"NA1_4261889708",11,10,5716,0.6,964,2,687,10,1
4102,Tonisho,"NA1_4260545501",10,35,8863,1.6,-676,-1,1853,10,1
4103,Tonisho,"NA1_4260479476",-10,-31,-5953,-1.2,-2317,-3,1965,10,0
4104,Tonisho,"NA1_4260188173",-11,-25,-1649,0,-11827,-4,2373,10,0
4105,Tonisho,"NA1_4260088513",-6,27,-13062,-1.4,-17116,-1,1810,10,0
4106,Tonisho,"NA1_4259504521",19,31,12616,2,12649,3,2270,10,1
4107,Tonisho,"NA1_4259259853",-19,-30,-9655,-2,-12043,-3,1904,10,0
4108,Tonisho,"NA1_4259220729",11,17,9623,1,12855,4,1690,10,1
4109,Tonisho,"NA1_4253601720",27,33,13579,1.8,18610,4,1542,10,1
4110,Tonisho,"NA1_4252736655",-27,-36,-15194,-1.6,-16811,-2,1643,10,0
4111,Tonisho,"NA1_4252703445",-23,-23,-15264,-1.4,-24826,1,1179,10,0
4112,Tonisho,"NA1_4246128425",-19,-20,-13535,-1.2,-22457,-3,1270,10,0
4113,Tonisho,"NA1_4245777336",13,24,11719,2.2,15335,0,1615,10,1
4114,Tonisho,"NA1_4245771431",2,25,3557,1,11501,3,1738,10,1
4115,Tonisho,"NA1_4245747875",-14,-21,-5591,-1,-3527,-2,1105,10,0
4116,Tonisho,"NA1_4243214560",-16,-14,-6015,-0.2,-14556,-2,1731,10,0
4117,Tonisho,"NA1_4241561173",11,10,9658,0.4,21250,3,1520,10,1
4118,Tonisho,"NA1_4239792749",11,31,9083,2,8865,-3,1858,10,1
4119,Tonisho,"NA1_4239754885",10,11,8649,0.8,22588,0,1514,10,1
4120,Tonisho,"NA1_4239322099",-3,-2,-879,-0.4,0,0,214,10,1
4121,Tonisho,"NA1_4239288114",-18,-11,-19473,-1.8,-20651,-3,1672,10,0
4122,Tonisho,"NA1_4238418310",11,26,10879,2,15313,-1,1921,10,1
4123,Tonisho,"NA1_4235963241",-15,0,-12358,-1.2,-41582,-4,1686,10,0
4124,Tonisho,"NA1_4235991046",0,0,123,0.4,339,0,195,10,1
4125,Tonisho,"NA1_4235820006",21,34,9253,1,12419,4,1757,10,1
4126,Tonisho,"NA1_4219852675",9,-10,8655,1.2,11447,6,2246,10,1
4127,Tonisho,"NA1_4219805461",24,30,15580,1.8,10040,4,1618,10,1
4128,Tonisho,"NA1_4218871690",-13,-22,-2824,-0.8,6761,1,2715,10,0
4129,Tonisho,"NA1_4218776160",-10,-2,-6130,-0.8,-16355,-4,1524,10,0
4130,Tonisho,"NA1_4216917046",-6,-13,-8738,-0.8,-8362,-1,2208,10,0
4131,Tonisho,"NA1_4216399701",11,-1,8046,0,-7795,0,2499,10,1
4132,Tonisho,"NA1_4215756300",-18,-14,-12203,-1.4,-2056,0,1985,10,0
4133,Tonisho,"NA1_4215393294",-11,-20,-9666,-1.4,-1065,0,2392,10,0
4134,Tonisho,"NA1_4214428021",8,-7,6532,-0.2,16986,-1,2598,10,1
4135,Tonisho,"NA1_4212326615",-30,-24,-13973,-2.2,-7232,-2,1520,10,0
4136,Tonisho,"NA1_4212370703",20,23,14445,1.4,24631,2,1661,10,1
4137,Tonisho,"NA1_4212062179",12,19,9561,1.2,20814,4,1858,10,1
4138,Tonisho,"NA1_4211979371",13,21,8973,1.8,18470,0,1560,10,1
4139,Tonisho,"NA1_4211976398",-12,-1,-4617,-0.2,-13136,-4,2122,10,0
4140,Tonisho,"NA1_4211227293",-7,-2,-9222,-1.2,-20899,-1,1330,10,0
4141,Tonisho,"NA1_4210560338",14,22,4646,-0,16080,1,1547,10,1
4142,Tonisho,"NA1_4210531703",-10,-26,-7142,-1.2,-12987,-1,1921,10,0
4143,Tonisho,"NA1_4209992564",-15,-11,-10017,-1.4,-6885,0,919,10,0
4144,Tonisho,"NA1_4209939270",27,23,18679,2.4,19710,3,1408,10,1
4145,Tonisho,"NA1_4209253605",19,18,14463,2,19653,3,1393,10,1
4146,Tonisho,"NA1_4209214980",22,25,16507,2,18290,2,1728,10,1
4147,Tonisho,"NA1_4206701434",-17,-32,-5716,-1.6,-7760,-3,1524,10,0
4148,Tonisho,"NA1_4206599599",-12,-25,-11401,-1.2,-8447,-4,1958,10,0
4149,zinopoopp,"NA1_4245003751",-8,-9,-5685,-1.2,-5603,1,1766,10,0
4150,zinopoopp,"NA1_4244623968",-6,-2,-14300,-2,-22328,-2,1615,10,0
4151,zinopoopp,"NA1_4241045138",3,-2,-5328,-1.4,-22586,-3,1545,10,0
4152,zinopoopp,"NA1_4239366748",-23,-23,-6853,-1.2,8434,-3,2213,10,1
4153,zinopoopp,"NA1_4239402114",-13,-20,-11262,-1.4,-17636,-4,1513,10,0
4154,zinopoopp,"NA1_4239347977",-10,-4,-11969,-1.2,-17384,-2,1641,10,0
4155,zinopoopp,"NA1_4238693389",20,16,15281,1,8601,0,1815,10,1
4156,zinopoopp,"NA1_4238409518",-1,-4,1097,0.4,14928,3,2277,10,1
4157,zinopoopp,"NA1_4237400508",-5,-14,-5714,-1.4,-2866,1,1972,10,0
4158,zinopoopp,"NA1_4237385016",10,7,7084,0.8,9183,0,1272,10,1
4159,zinopoopp,"NA1_4236502363",-25,-27,-15394,-2.2,-8946,-2,925,10,0
4160,zinopoopp,"NA1_4236146646",21,34,14959,1,24953,2,1084,10,1
4161,zinopoopp,"NA1_4234605902",10,5,9068,1.8,16839,2,1488,10,1
4162,zinopoopp,"NA1_4234209524",13,14,6912,1.2,2970,2,1011,10,1
4163,zinopoopp,"NA1_4234098818",-16,-17,-11772,-1.2,-17882,1,2124,10,0
4164,zinopoopp,"NA1_4233719410",3,1,8518,0.6,15206,3,1947,10,1
4165,zinopoopp,"NA1_4232908920",-4,19,-5354,0.4,-16406,0,2167,10,0
4166,zinopoopp,"NA1_4232847481",6,13,5131,0.8,7475,0,2436,10,1
4167,zinopoopp,"NA1_4232517885",-22,-30,-13099,-1.6,-19729,-2,1521,10,0
4168,zinopoopp,"NA1_4232310869",-1,-33,3426,0.2,-8131,-2,2257,10,0
4169,zinopoopp,"NA1_4223174818",1,-6,4206,0.4,8185,2,1004,10,1
4170,zinopoopp,"NA1_4223170721",5,21,6232,0.6,-1152,1,1210,10,1
4171,zinopoopp,"NA1_4223104731",3,5,7194,1.6,3226,-1,2021,10,1
4172,zinopoopp,"NA1_4223049121",-21,-23,-10045,-1,-19175,-5,1823,10,0
4173,zinopoopp,"NA1_4223072997",-15,-43,-9942,-1.8,-9796,1,1956,10,0
4174,zinopoopp,"NA1_4217506657",4,9,99,0.2,-3317,2,926,10,1
4175,zinopoopp,"NA1_4215523755",-14,-25,-10517,-1,-15978,-3,1953,10,0
4176,zinopoopp,"NA1_4213698102",2,-10,-6492,-0.6,-9762,2,2545,10,0
4177,zinopoopp,"NA1_4213639190",9,39,9487,1.4,14899,1,2129,10,1
4178,zinopoopp,"NA1_4213583297",11,15,8703,1.2,15804,1,1599,10,1
4179,zinopoopp,"NA1_4212422166",-12,-23,-10958,-3,-14513,0,1526,10,0
4180,zinopoopp,"NA1_4211161089",-2,7,-1551,-0.6,-5575,-3,1923,10,0
4181,zinopoopp,"NA1_4210103296",1,4,-9216,-0.8,-20299,-3,1838,10,0
4182,zinopoopp,"NA1_4209520944",-10,-18,-8094,-1.8,-3788,-2,1674,10,0
4183,zinopoopp,"NA1_4209440892",3,24,1395,1.4,1371,2,1630,10,1
4184,zinopoopp,"NA1_4209370519",-11,-39,-4666,-1.2,-3105,-2,2351,10,0
4185,zinopoopp,"NA1_4193404464",-1,-3,-1637,-1,-2122,-1,628,10,0
4186,zinopoopp,"NA1_4191711102",21,39,13701,2,20835,2,1664,10,1
4187,zinopoopp,"NA1_4190653202",-24,-29,-18150,-2.2,-14602,-5,1917,10,0
4188,zinopoopp,"NA1_4190582043",16,35,6631,0.8,9162,-2,2591,10,1
4189,zinopoopp,"NA1_4189743958",5,17,4230,0.2,-11341,3,2327,10,1
4190,zinopoopp,"NA1_4188565192",-20,-6,-12898,-1.8,-22829,-3,1418,10,0
4191,zinopoopp,"NA1_4188485567",12,15,5254,0,3509,2,3269,10,0
4192,zinopoopp,"NA1_4188026326",28,22,10301,1.2,8050,4,1664,10,1
4193,zinopoopp,"NA1_4187986931",11,34,11479,0.8,15234,4,1797,10,1
4194,zinopoopp,"NA1_4187991694",-22,-15,-9496,-1,-9444,2,913,10,0
4195,zinopoopp,"NA1_4187930674",-11,-30,-7256,-1.2,-4087,0,2112,10,0
4196,zinopoopp,"NA1_4187516268",4,23,1687,0.6,6967,-1,1994,10,1
4197,zinopoopp,"NA1_4187470708",-15,-28,-6547,-1,-14599,0,1619,10,0
4198,zinopoopp,"NA1_4186671152",17,26,13372,1.4,20757,4,1655,10,1
4199,ThriIlOfTheHunt,"NA1_4267709467",-1,8,2620,0,-5839,1,3139,10,1
4200,ThriIlOfTheHunt,"NA1_4267704834",-11,-19,-8457,-1.2,-5961,-2,1611,10,0
4201,ThriIlOfTheHunt,"NA1_4267661161",19,29,9226,0.6,27389,1,1447,10,1
4202,ThriIlOfTheHunt,"NA1_4267433673",15,13,9302,0.8,5152,-1,2099,10,1
4203,ThriIlOfTheHunt,"NA1_4266531658",4,0,-4038,-1,-7861,0,1580,10,0
4204,ThriIlOfTheHunt,"NA1_4265049096",-19,-20,-8631,-1.2,-16746,1,1502,10,0
4205,ThriIlOfTheHunt,"NA1_4265064288",15,20,7346,0.8,19666,4,1364,10,1
4206,ThriIlOfTheHunt,"NA1_4258655613",-19,-22,-14110,-1.6,-17930,-3,1471,10,0
4207,ThriIlOfTheHunt,"NA1_4255269502",13,7,9280,1,16811,1,1647,10,1
4208,ThriIlOfTheHunt,"NA1_4255293991",3,9,-12073,-0.8,4735,-1,2496,10,0
4209,ThriIlOfTheHunt,"NA1_4253637707",11,10,6887,1,9785,2,1937,10,1
4210,ThriIlOfTheHunt,"NA1_4253601622",-19,-15,-13267,-1.6,-23707,0,1561,10,0
4211,ThriIlOfTheHunt,"NA1_4253584517",20,25,7855,0.8,-810,-1,1838,10,1
4212,ThriIlOfTheHunt,"NA1_4248484247",15,20,8530,1.2,12418,3,1395,10,1
4213,ThriIlOfTheHunt,"NA1_4247747629",7,0,7339,1.4,5620,4,1663,10,1
4214,ThriIlOfTheHunt,"NA1_4246995184",8,21,6329,0.8,14537,4,2178,10,1
4215,ThriIlOfTheHunt,"NA1_4246911020",14,45,5803,0.2,6424,1,1335,10,1
4216,ThriIlOfTheHunt,"NA1_4245829125",16,46,9245,1.6,12681,-1,1594,10,1
4217,ThriIlOfTheHunt,"NA1_4245874360",-4,4,-9820,-1.2,-24668,-1,1501,10,0
4218,ThriIlOfTheHunt,"NA1_4245821086",-23,-24,-13047,-1.6,-25251,0,1743,10,0
4219,ThriIlOfTheHunt,"NA1_4244845590",-3,-12,-2140,0,6039,1,2418,10,0
4220,ThriIlOfTheHunt,"NA1_4244784863",-12,-10,-265,0,2696,1,2787,10,0
4221,ThriIlOfTheHunt,"NA1_4244122185",18,11,11910,1.6,8558,4,1812,10,1
4222,ThriIlOfTheHunt,"NA1_4243029119",-10,5,-10444,-1,-26446,-3,1659,10,0
4223,ThriIlOfTheHunt,"NA1_4243061402",-22,-43,-13192,-2,-5199,-4,1526,10,0
4224,ThriIlOfTheHunt,"NA1_4242904233",6,0,2308,0.4,10847,2,1720,10,1
4225,ThriIlOfTheHunt,"NA1_4242939999",-25,-36,-16120,-2.2,-14702,-1,1507,10,0
4226,ThriIlOfTheHunt,"NA1_4241581911",-9,-9,-7213,-0.2,-20754,-3,1821,10,0
4227,ThriIlOfTheHunt,"NA1_4241503022",12,12,10602,1.2,19280,3,1457,10,1
4228,ThriIlOfTheHunt,"NA1_4241494994",0,25,-3361,0,-16918,-1,2220,10,0
4229,ThriIlOfTheHunt,"NA1_4241490878",14,12,9508,0.6,11612,3,1437,10,1
4230,ThriIlOfTheHunt,"NA1_4241426471",26,36,19061,1.2,11905,2,1543,10,1
4231,ThriIlOfTheHunt,"NA1_4240316098",15,11,7650,1,8632,0,1850,10,1
4232,ThriIlOfTheHunt,"NA1_4240265377",13,16,11478,1.4,8248,2,1228,10,1
4233,ThriIlOfTheHunt,"NA1_4233514930",21,39,9618,1.6,12803,2,1569,10,1
4234,ThriIlOfTheHunt,"NA1_4232947247",10,9,10479,0.8,19110,4,1768,10,1
4235,ThriIlOfTheHunt,"NA1_4232902612",21,27,15681,1.8,16505,4,1608,10,1
4236,ThriIlOfTheHunt,"NA1_4232873475",-7,-4,-9024,-0.8,-4075,-2,2116,10,0
4237,ThriIlOfTheHunt,"NA1_4232788076",8,5,8109,0.6,26276,2,1528,10,1
4238,ThriIlOfTheHunt,"NA1_4232661818",7,15,9431,0.8,17037,1,2053,10,1
4239,ThriIlOfTheHunt,"NA1_4230661934",6,-1,8968,-0.4,25569,3,1215,10,1
4240,ThriIlOfTheHunt,"NA1_4230614398",14,20,6104,1,7700,3,1860,10,1
4241,ThriIlOfTheHunt,"NA1_4230569897",7,10,11920,1.4,22233,3,1554,10,1
4242,ThriIlOfTheHunt,"NA1_4224797097",-16,-28,-6174,-1.6,-3450,-1,1411,10,0
4243,ThriIlOfTheHunt,"NA1_4224791407",31,36,14896,1.4,24736,3,1443,10,1
4244,ThriIlOfTheHunt,"NA1_4221888140",-12,-12,-8593,-1,-2947,-4,1956,10,0
4245,ThriIlOfTheHunt,"NA1_4221513135",-29,-39,-12595,-1.8,-10819,-3,1291,10,0
4246,ThriIlOfTheHunt,"NA1_4221561168",16,42,10087,1.4,8329,4,1486,10,1
4247,ThriIlOfTheHunt,"NA1_4219879139",1,9,6773,0.6,11804,-6,2435,10,1
4248,ThriIlOfTheHunt,"NA1_4219842390",5,16,-2591,-0.2,-10632,1,1717,10,0
4249,WheeIChairManLFT,"NA1_4258273036",-10,-9,-5207,-1,-3437,-1,714,10,0
4250,WheeIChairManLFT,"NA1_4258219686",-23,-15,-13793,-1.8,-17138,-2,1051,10,0
4251,WheeIChairManLFT,"NA1_4223585477",-18,-14,-13986,-2,-19600,0,1566,10,0
4252,WheeIChairManLFT,"NA1_4209824244",-6,-1,-4733,-1.4,-9659,-1,1936,10,0
4253,WheeIChairManLFT,"NA1_4203538510",-13,-13,-4469,-0.6,-7681,2,1780,10,0
4254,WheeIChairManLFT,"NA1_4199370897",8,29,8743,1.8,5720,4,1496,10,1
4255,WheeIChairManLFT,"NA1_4170163607",8,0,1352,0.4,11073,-1,1959,10,1
4256,WheeIChairManLFT,"NA1_4169445700",2,32,4032,0.6,5939,-1,1534,10,1
4257,WheeIChairManLFT,"NA1_4168365836",-14,-19,-6164,-0.8,-8516,-1,1985,10,0
4258,WheeIChairManLFT,"NA1_4168309015",-3,4,-6754,-1,-9583,-3,1932,10,0
4259,WheeIChairManLFT,"NA1_4167768408",-5,-30,-7253,-1.6,-6195,2,1777,10,0
4260,WheeIChairManLFT,"NA1_4167783890",18,37,9775,0.8,19087,-1,1965,10,1
4261,WheeIChairManLFT,"NA1_4167772819",0,0,-229,0.2,-111,0,193,10,0
4262,WheeIChairManLFT,"NA1_4146753427",15,17,10034,1,18308,1,1266,10,1
4263,WheeIChairManLFT,"NA1_4104488792",22,15,12940,2.4,21313,4,1602,10,1
4264,WheeIChairManLFT,"NA1_4065095173",23,57,13669,2.4,13343,3,1818,10,1
4265,WheeIChairManLFT,"NA1_4057815783",20,26,9092,0.6,14641,2,1790185,10,1
4266,WheeIChairManLFT,"NA1_4057804709",11,6,4935,1,5161,1,1240315,10,1
4267,WheeIChairManLFT,"NA1_4054973555",14,19,13745,2,25462,3,1405617,10,1
4268,WheeIChairManLFT,"NA1_4049716531",10,2,10937,1.2,22216,5,1809442,10,1
4269,WheeIChairManLFT,"NA1_4049724666",22,41,15423,1.6,14136,3,1390324,10,1
4270,WheeIChairManLFT,"NA1_4046078652",1,-10,-6193,-1.2,-8992,2,1699405,10,0
4271,WheeIChairManLFT,"NA1_4040396012",9,5,7013,0.8,13361,-2,1599054,10,1
4272,WheeIChairManLFT,"NA1_4040393608",17,11,12855,1.6,17299,1,1402026,10,1
4273,WheeIChairManLFT,"NA1_4026020113",30,27,17723,2.2,21499,2,1215899,10,1
4274,WheeIChairManLFT,"NA1_4025944677",-16,-16,-15405,-1.4,-24653,-1,1845347,10,0
4275,WheeIChairManLFT,"NA1_4025927820",-21,-42,-11749,-1.4,-13375,-3,2021539,10,0
4276,WheeIChairManLFT,"NA1_4025922283",-4,-9,-8142,-0.4,-7222,-1,2082385,10,0
4277,WheeIChairManLFT,"NA1_4024642459",-17,-30,-9480,-1.8,-1674,-4,1489932,10,0
4278,WheeIChairManLFT,"NA1_4024548848",-15,-20,-12775,-1.4,-25273,-4,1595478,10,0
4279,WheeIChairManLFT,"NA1_4024565229",-9,-1,-10736,-1,-28738,-1,1803302,10,0
4280,WheeIChairManLFT,"NA1_4023726525",18,34,9424,1.2,5402,1,1360874,10,1
4281,WheeIChairManLFT,"NA1_4023722078",11,32,13065,1.4,17729,2,1133067,10,1
4282,WheeIChairManLFT,"NA1_4011297921",-9,8,1870,-0.2,5208,-1,2430293,10,1
4283,WheeIChairManLFT,"NA1_4011194667",-6,10,-8736,-2,-13668,-2,1786727,10,0
4284,WheeIChairManLFT,"NA1_4011190606",-19,-24,-11626,-1.6,-9911,-4,1624835,10,0
4285,WheeIChairManLFT,"NA1_4010346874",-12,5,-11266,-0.4,-6315,-2,2286331,10,0
4286,WheeIChairManLFT,"NA1_4010340071",-17,-31,-9375,-2.6,-11366,-3,1809649,10,0
4287,WheeIChairManLFT,"NA1_4003823657",13,10,10252,1.2,5673,1,1691524,10,1
4288,WheeIChairManLFT,"NA1_4003781591",3,14,3509,1,6581,0,1685679,10,1
4289,WheeIChairManLFT,"NA1_4000686802",2,-1,-457,0.2,3277,1,1457882,10,1
4290,WheeIChairManLFT,"NA1_4000720588",9,27,5952,0,10608,2,1782228,10,1
4291,WheeIChairManLFT,"NA1_4000616806",-12,-27,-12948,-2,-16162,-2,1586522,10,0
4292,WheeIChairManLFT,"NA1_4000651385",-12,-18,-10518,-1.4,-18590,-3,1404581,10,0
4293,WheeIChairManLFT,"NA1_3999323683",17,13,15446,1.2,19015,1,1351074,10,1
4294,WheeIChairManLFT,"NA1_3999280802",2,-19,-5577,-0.6,-11914,1,1905421,10,0
4295,WheeIChairManLFT,"NA1_3998547350",1,2,-645,0,-20624,1,2475385,10,0
4296,WheeIChairManLFT,"NA1_3976421946",-4,9,-9370,-1.8,-20489,0,1772210,10,0
4297,WheeIChairManLFT,"NA1_3976338240",46,44,13109,1.4,16335,1,1138392,10,1
4298,WheeIChairManLFT,"NA1_3976339819",2,-12,-2428,-1,-596,1,2053277,10,0
4299,G2 Tempest,"NA1_4267453255",3,-15,5325,0.4,15772,4,2167,10,1
4300,G2 Tempest,"NA1_4267376017",16,24,13422,1.8,13672,4,2345,10,1
4301,G2 Tempest,"NA1_4267410507",13,35,13129,1.4,17996,0,1524,10,1
4302,G2 Tempest,"NA1_4266060274",11,15,10081,1.2,7181,3,1125,10,1
4303,G2 Tempest,"NA1_4266035508",25,33,19395,1.8,19907,2,1068,10,1
4304,G2 Tempest,"NA1_4266020068",30,30,8776,0.6,6583,3,2093,10,1
4305,G2 Tempest,"NA1_4263852838",-12,-33,-10105,-0.4,-17719,-4,1723,10,0
4306,G2 Tempest,"NA1_4263749002",-11,0,4306,1.4,7787,-2,2115,10,1
4307,G2 Tempest,"NA1_4262033859",-16,-43,-8954,-0.4,-17163,-4,1637,10,0
4308,G2 Tempest,"NA1_4262000944",5,4,-994,0,-3823,0,1584,10,1
4309,G2 Tempest,"NA1_4259939178",-17,-18,-13422,-1.4,-10093,0,966,10,0
4310,G2 Tempest,"NA1_4259926285",-3,14,-7269,-0.2,-23902,-2,1596,10,0
4311,G2 Tempest,"NA1_4259933456",-13,-22,-16391,-1.4,-25029,-3,1339,10,0
4312,G2 Tempest,"NA1_4256483254",-15,-19,-7417,-0.4,-13988,-4,1460,10,0
4313,G2 Tempest,"NA1_4256428069",17,12,11175,1.6,10772,1,1451,10,1
4314,G2 Tempest,"NA1_4254928667",8,28,5524,1,6820,-3,1939,10,1
4315,G2 Tempest,"NA1_4254621593",-24,-14,-11992,-1.2,-13564,0,1346,10,0
4316,G2 Tempest,"NA1_4254518407",5,6,8081,1.2,8129,2,775,10,1
4317,G2 Tempest,"NA1_4254552720",17,33,14567,1.4,23769,4,1586,10,1
4318,G2 Tempest,"NA1_4253709757",28,33,15775,1.6,20937,3,1742,10,1
4319,G2 Tempest,"NA1_4253625779",7,37,2273,0.8,3716,-2,1877,10,1
4320,G2 Tempest,"NA1_4253587869",22,29,17908,1.4,18493,3,1508,10,1
4321,G2 Tempest,"NA1_4253321834",19,29,9650,1.8,15682,2,1422,10,1
4322,G2 Tempest,"NA1_4253288381",8,28,6090,0.8,-5353,0,1799,10,1
4323,G2 Tempest,"NA1_4249565140",5,26,70,0.2,9152,2,2108,10,1
4324,G2 Tempest,"NA1_4249539521",9,19,4490,0.6,8789,2,2131,10,1
4325,G2 Tempest,"NA1_4249527951",24,20,15160,1.8,25693,1,1489,10,1
4326,G2 Tempest,"NA1_4248673923",14,7,7362,0.2,16485,2,2228,10,1
4327,G2 Tempest,"NA1_4248650473",-13,-22,-3352,-1,-140,-3,1957,10,0
4328,G2 Tempest,"NA1_4248566522",-4,-10,-4312,-1,-2381,0,1799,10,0
4329,G2 Tempest,"NA1_4248562400",17,35,820,1,-10288,-3,2058,10,0
4330,G2 Tempest,"NA1_4248508950",-10,-27,-13964,-1.8,-10350,-1,1933,10,0
4331,G2 Tempest,"NA1_4247925782",18,19,11191,0.6,14345,4,1678,10,1
4332,G2 Tempest,"NA1_4247639497",18,27,10094,1.4,3843,4,1556,10,1
4333,G2 Tempest,"NA1_4247607734",-18,-19,-9293,-1.6,-8102,-3,2107,10,0
4334,G2 Tempest,"NA1_4247278726",-16,-23,-12411,-0.8,-19003,0,1454,10,0
4335,G2 Tempest,"NA1_4247232630",0,-1,6755,1,16477,-2,2021,10,1
4336,G2 Tempest,"NA1_4210613623",-7,-2,-4057,-0.2,-20753,0,2532,10,0
4337,G2 Tempest,"NA1_4210586970",4,-16,3226,0,18690,3,1831,10,1
4338,G2 Tempest,"NA1_4209839024",8,14,5291,0.8,15645,0,1984,10,1
4339,G2 Tempest,"NA1_4209874555",22,8,11566,1.4,15012,4,1792,10,1
4340,G2 Tempest,"NA1_4209785843",15,12,10577,1.2,14051,1,2057,10,1
4341,G2 Tempest,"NA1_4209784445",-8,-8,-8476,-1.2,-6616,-2,763,10,0
4342,Reformed Square,"NA1_4265063273",25,36,19013,2,24901,3,1238,10,1
4343,Reformed Square,"NA1_4262677697",17,26,9920,0.6,26783,4,1716,10,1
4344,Reformed Square,"NA1_4262311292",-13,-34,-7817,-1,-6326,-2,1787,10,0
4345,Reformed Square,"NA1_4262281656",20,6,14104,1.6,19398,2,1240,10,1
4346,Reformed Square,"NA1_4261598808",8,15,8709,0.6,12031,3,1535,10,1
4347,Reformed Square,"NA1_4260810810",15,13,14322,1.2,13426,1,919,10,1
